draft_id,player_name,draft_season,round_number,round_pick,overall_pick,team_id,team_city,team_name,team_abbreviation,organization,organization_type,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint
2743,Kris Humphries,2004,1,14,14,1610612762,Utah,Jazz,UTA,Minnesota,[College/University],PF,80.25,6' 8.25'',81.5,6' 9.5'',238.0,84.5,7' 0.5'',106.5,8' 10.5'',6.7,0.0,0.0,29.5,36.0,11.33,0.0,3.2
2744,Al Jefferson,2004,1,15,15,1610612738,Boston,Celtics,BOS,Prentiss,[High School],PF-SF,80.5,6' 8.5'',81.75,6' 9.75'',263.0,86.5,7' 2.5'',110.0,9' 2'',10.5,0.0,0.0,28.5,30.0,13.08,0.0,3.29
2745,Kirk Snyder,2004,1,16,16,1610612762,Utah,Jazz,UTA,Nevada-Reno,[College/University],SG-SF,78.0,6' 6'',78.75,6' 6.75'',228.0,81.0,6' 9'',104.0,8' 8'',9.3,0.0,0.0,30.0,35.0,10.79,0.0,3.13
2746,Josh Smith,2004,1,17,17,1610612737,Atlanta,Hawks,ATL,Oak Hill Academy,[High School],SG-SF,79.0,6' 7'',80.25,6' 8.25'',221.0,84.0,7' 0'',106.5,8' 10.5'',6.7,0.0,0.0,32.5,39.5,11.43,0.0,3.24
2747,JR Smith,2004,1,18,18,1610612740,New Orleans,Hornets,NOH,Saint Benedict's Preparatory School,[High School],SG-SF,77.5,6' 5.5'',78.75,6' 6.75'',227.0,82.0,6' 10'',104.0,8' 8'',6.7,0.0,0.0,29.0,35.5,10.93,0.0,3.21
2749,Jameer Nelson,2004,1,20,20,1610612743,Denver,Nuggets,DEN,Saint Joseph's,[College/University],PG,71.0,5' 11'',72.5,6' 0.5'',199.0,74.5,6' 2.5'',95.0,7' 11'',8.0,0.0,0.0,28.5,33.5,10.95,0.0,3.14
2753,Delonte West,2004,1,24,24,1610612738,Boston,Celtics,BOS,Saint Joseph's,[College/University],PG-SG,73.5,6' 1.5'',74.75,6' 2.75'',183.0,78.0,6' 6'',99.5,8' 3.5'',6.7,0.0,0.0,30.0,35.0,11.2,0.0,3.15
2754,Tony Allen,2004,1,25,25,1610612738,Boston,Celtics,BOS,Oklahoma State,[College/University],SG,75.5,6' 3.5'',76.25,6' 4.25'',214.0,81.0,6' 9'',102.0,8' 6'',6.7,0.0,0.0,31.5,36.5,10.7,0.0,3.19
2757,Beno Udrih,2004,1,28,28,1610612759,San Antonio,Spurs,SAS,Olimpia Milano (Italy),[Other Team/Club],PG,74.5,6' 2.5'',75.75,6' 3.75'',199.0,76.5,6' 4.5'',98.0,8' 2'',9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,Jackson Vroman,2004,2,2,31,1610612741,Chicago,Bulls,CHI,Iowa State,[College/University],PF-C,81.25,6' 9.25'',82.75,6' 10.75'',226.0,84.0,7' 0'',105.5,8' 9.5'',6.7,0.0,0.0,29.5,33.5,10.75,0.0,3.25
2762,Peter John Ramos,2004,2,3,32,1610612764,Washington,Wizards,WAS,Criollos de Caguas (Puerto Rico),[Other Team/Club],C,85.75,7' 1.75'',87.25,7' 3.25'',266.0,89.5,7' 5.5'',111.5,9' 3.5'',6.7,0.0,0.0,24.0,26.5,12.61,0.0,3.6
2765,Andre Emmett,2004,2,6,35,1610612760,Seattle,SuperSonics,SEA,Texas Tech,[College/University],SG-SF,75.5,6' 3.5'',76.5,6' 4.5'',216.0,81.0,6' 9'',100.0,8' 4'',6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2766,Antonio Burks,2004,2,7,36,1610612753,Orlando,Magic,ORL,Memphis,[College/University],PG,72.0,6' 0'',72.75,6' 0.75'',191.0,78.5,6' 6.5'',96.5,8' 0.5'',9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2768,Chris Duhon,2004,2,9,38,1610612741,Chicago,Bulls,CHI,Duke,[College/University],PG,72.0,6' 0'',73.25,6' 1.25'',193.0,78.5,6' 6.5'',98.0,8' 2'',6.7,0.0,0.0,31.5,35.0,10.45,0.0,3.14
2772,Trevor Ariza,2004,2,14,43,1610612752,New York,Knicks,NYK,California-Los Angeles,[College/University],SG-SF,79.0,6' 7'',80.25,6' 8.25'',201.0,86.0,7' 2'',107.5,8' 11.5'',8.0,0.0,0.0,29.5,32.0,11.63,0.0,3.29
2773,Tim Pickett,2004,2,15,44,1610612740,New Orleans,Hornets,NOH,Florida State,[College/University],PG-SG,75.0,6' 3'',76.25,6' 4.25'',207.0,79.5,6' 7.5'',100.5,8' 4.5'',6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2774,Bernard Robinson,2004,2,16,45,1610612766,Charlotte,Bobcats,CHA,Michigan,[College/University],SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',208.0,82.0,6' 10'',102.0,8' 6'',6.0,0.0,0.0,28.5,34.5,10.91,0.0,3.17
2776,Pape Sow,2004,2,18,47,1610612748,Miami,Heat,MIA,Cal State-Fullerton,[College/University],PF-C,80.5,6' 8.5'',82.0,6' 10'',233.0,86.0,7' 2'',108.5,9' 0.5'',9.3,0.0,0.0,28.0,31.5,12.13,0.0,3.27
2777,Ricky Minard,2004,2,19,48,1610612758,Sacramento,Kings,SAC,Morehead State,[College/University],PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',198.0,79.0,6' 7'',101.5,8' 5.5'',8.0,0.0,0.0,27.5,33.0,10.94,0.0,3.1
2778,Sergei Lishouk,2004,2,20,49,1610612763,Memphis,Grizzlies,MEM,Miami (FL),[College/University],PF-SF,82.25,6' 10.25'',83.5,6' 11.5'',244.0,84.0,7' 0'',109.5,9' 1.5'',10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,Romain Sato,2004,2,23,52,1610612759,San Antonio,Spurs,SAS,Xavier,[College/University],SG,74.0,6' 2'',75.25,6' 3.25'',204.0,83.0,6' 11'',102.5,8' 6.5'',6.0,0.0,0.0,31.5,35.5,11.27,0.0,3.18
2782,Matt Freije,2004,2,24,53,1610612748,Miami,Heat,MIA,Vanderbilt,[College/University],SF-PF,80.25,6' 8.25'',81.5,6' 9.5'',234.0,85.0,7' 1'',108.5,9' 0.5'',10.8,0.0,0.0,29.5,31.0,11.15,0.0,3.25
