player_id,Player,Salary
1074,Wayne Selden,0
1075,Alperen Þengün,0
1516,Day'Ron Sharpe,2109480
1570,Marko Simonovic,1563518
1084,Zavier Simpson,0
1564,Jericho Sims,1639842
1088,Javonte Smart,0
1661,Xavier Sneed,102910
1515,Jaden Springer,2125200
1102,Nik Stauskas,0
1104,Lance Stephenson,0
1368,Jalen Suggs,6922320
1109,Craig Sword,0
1110,Keifer Sykes,0
1562,Terry Taylor,1703902
1115,Emanuel Terry,0
1117,Jon Teske,0
1510,Cam Thomas,2138160
1124,Isaiah Thomas,0
1215,Klay Thompson,40600080
1569,JT Thor,1563518
1132,Killian Tillie,0
1567,Isaiah Todd,1575000
1141,Rayjon Tucker,0
1143,Jonas Valan?i?nas,0
1150,Nikola Vu?evi?,0
1395,Franz Wagner,5258280
1154,Ish Wainright,0
1156,Lonnie Walker IV,0
1157,M.J. Walker,0
1158,Tyrone Wallace,0
1159,Derrick Walton,0
1162,Duane Washington Jr.,0
1493,Lindy Waters III,2316876
1580,Trendon Watford,1563518
1459,Joe Wieskamp,2909261
1578,Aaron Wiggins,1563518
1662,Lindell Wigginton,99438
1180,Brandon Williams,0
1409,Ziaire Williams,4591680
1425,Justise Winslow,4097561
1193,Robert Woodard II,0
1195,McKinley Wright IV,0
1197,Moses Wright,0
1669,Gabe York,32171
1560,Omer Yurtseven,1752638
1275,Jonathan Isaac,17400000
1316,Paolo Banchero,11055120
1354,Keegan Murray,8008440
1363,Jaden Ivey,7252200
1371,Bennedict Mathurin,6586800
1380,Shaedon Sharpe,6012960
1391,Dyson Daniels,5508600
1401,Jeremy Sochan,5063520
1406,Johnny Davis,4810320
1410,Ousmane Dieng,4569840
1418,Jalen Williams,4341480
1423,Jalen Duren,4124280
1432,Ochai Agbaji,3918360
1438,Mark Williams,3722040
1441,AJ Griffin,3536160
1447,Tari Eason,3359160
1449,Simone Fontecchio,3205128
1451,Dalen Terry,3191400
1454,Jake LaRavia,3047640
1458,Malaki Branham,2925600
1472,Christian Braun,2808600
1477,Walker Kessler,2696400
1480,Matthew Dellavedova,2628597
1483,David Roddy,2588640
1485,MarJon Beauchamp,2485200
1490,Blake Wesley,2385480
1501,Andrew Nembhard,2244111
1505,Peyton Watson,2193960
1520,Jaylin Williams,2000000
1523,Caleb Houstan,2000000
1574,Jason Preston,1563518
1582,Christian Koloko,1500000
1583,Bryce McGowens,1461055
1585,Kennedy Chandler,1200000
1589,Tyrese Martin,1017781
1590,Jaden Hardy,1017781
1591,Ryan Rollins,1017781
1592,Max Christie,1017781
1593,Josh Minott,1017781
1594,Jabari Walker,1017781
1608,Trevor Keels,520589
1609,Dereon Seabron,511816
1612,JD Davison,508891
1615,Isaiah Mobley,508891
1616,Jack White,508891
1617,Buddy Boeheim,508891
1618,Darius Days,508891
1619,Trevor Hudgins,508891
1620,Kendall Brown,508891
1621,Cole Swider,508891
