game_id,game_date,attendance
22100557,2022-01-03,15057
22100558,2022-01-03,19767
22100560,2022-01-03,0
22100561,2022-01-03,0
22100559,2022-01-03,18064
22100565,2022-01-04,15158
22100563,2022-01-04,15353
22100562,2022-01-04,18178
22100566,2022-01-04,17919
22100564,2022-01-04,18449
22100570,2022-01-05,19156
22100571,2022-01-05,14176
22100573,2022-01-05,17341
22100574,2022-01-05,14375
22100575,2022-01-05,14056
22100572,2022-01-05,20441
22100567,2022-01-05,14427
22100568,2022-01-05,13116
22100577,2022-01-05,0
22100576,2022-01-05,15773
22100569,2022-01-05,13014
22100580,2022-01-06,15986
22100578,2022-01-06,17529
22100581,2022-01-06,17071
22100579,2022-01-06,12983
22100589,2022-01-07,18997
22100582,2022-01-07,20265
22100588,2022-01-07,15966
22100586,2022-01-07,0
22100583,2022-01-07,17732
22100587,2022-01-07,14874
22100585,2022-01-07,21700
22100590,2022-01-07,16708
22100584,2022-01-07,15353
22100591,2022-01-08,17936
22100596,2022-01-08,17071
22100595,2022-01-08,19156
22100592,2022-01-08,19139
22100593,2022-01-08,18644
22100594,2022-01-08,13160
22100599,2022-01-09,15353
22100606,2022-01-09,18288
22100605,2022-01-09,16408
22100597,2022-01-09,14836
22100604,2022-01-09,18064
22100603,2022-01-09,20041
22100602,2022-01-09,15606
22100598,2022-01-09,13223
22100600,2022-01-09,0
22100601,2022-01-09,14772
22100609,2022-01-10,19156
22100611,2022-01-10,12110
22100486,2022-01-10,16379
22100607,2022-01-10,14253
22100610,2022-01-10,16569
22100711,2022-01-10,13593
22100608,2022-01-10,17834
22100613,2022-01-11,15353
22100614,2022-01-11,17794
22100415,2022-01-11,19886
22100612,2022-01-11,13985
22100616,2022-01-11,0
22100615,2022-01-11,15155
22100626,2022-01-12,12199
22100620,2022-01-12,13138
22100622,2022-01-12,18215
22100624,2022-01-12,18306
22100625,2022-01-12,21698
22100619,2022-01-12,20317
22100618,2022-01-12,0
22100621,2022-01-12,15355
22100623,2022-01-12,0
22100631,2022-01-13,14972
22100628,2022-01-13,15881
22100627,2022-01-13,17848
22100630,2022-01-13,16964
22100629,2022-01-13,15406
22100633,2022-01-14,18011
22100636,2022-01-14,19600
22100638,2022-01-14,12160
22100639,2022-01-14,16712
22100635,2022-01-14,20444
22100637,2022-01-14,21174
22100634,2022-01-14,14019
22100640,2022-01-14,12857
22100632,2022-01-14,16011
