primary_key_composed,season_id,player_id,player_name,team_id,team_abbreviation,position,age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,divisor_pie,pie
11_2021_ORL,2021,11,Al-Farouq Aminu,1610612753,ORL,PF,30,2,0,8.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.5,1.5,2.0,1.0,0.0,0.0,1.0,0.0,1.5,2.25,0.0003755006675567423
1344_2021_MEM,2021,1344,Kyle Anderson,1610612763,MEM,PF,27,24,24,28.1,5.0,10.7,0.467,1.7,4.3,0.388,3.3,6.4,0.519,0.545,2.1,2.7,0.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8,15.35,0.001967444245065368
1213_2021_MIL,2021,1213,Giannis Antetokounmpo,1610612749,MIL,PF,26,27,27,33.6,10.3,18.4,0.563,1.1,4.0,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,28.099999999999998,0.0027942126982548597
14_2021_LAL,2021,14,Kostas Antetokounmpo,1610612747,LAL,PF,23,1,0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
1542_2021_MIL,2021,1542,Thanasis Antetokounmpo,1610612749,MIL,SF,28,18,0,8.3,0.9,1.4,0.654,0.1,0.4,0.286,0.8,1.1,0.789,0.692,0.2,0.4,0.571,0.7,1.0,1.7,0.8,0.3,0.2,0.8,1.4,2.2,1.8499999999999999,0.0001839606224829712
505_2021_POR,2021,505,Carmelo Anthony,1610612757,POR,PF,36,27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.407,0.468,2.4,2.8,0.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3,8.5,0.0011195258478761936
1439_2021_ORL,2021,1439,Cole Anthony,1610612753,ORL,PG,20,25,17,26.7,4.0,10.8,0.375,1.1,3.3,0.325,3.0,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0,8.5,0.0014185580774365822
1276_2021_TOR,2021,1276,OG Anunoby,1610612761,TOR,SF,23,18,18,34.4,5.1,10.3,0.489,2.4,5.7,0.431,2.6,4.7,0.56,0.608,2.0,2.7,0.75,1.6,4.3,5.9,1.6,2.0,0.6,1.7,2.9,14.6,13.1,0.0019604908709967075
1549_2021_CHI,2021,1549,Ryan Arcidiacono,1610612741,CHI,PG,26,11,0,9.7,0.8,2.2,0.375,0.5,1.5,0.375,0.3,0.7,0.375,0.5,0.4,0.5,0.8,0.1,1.9,2.0,1.5,0.3,0.0,0.2,0.9,2.5,3.649999999999999,0.0005212424134237771
511_2021_MIL,2021,511,D.J. Augustin,1610612749,MIL,PG,33,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9,5.400000000000001,0.0005369661413016458
1404_2021_WAS,2021,1404,Deni Avdija,1610612764,WAS,SF,20,22,16,22.9,2.5,6.0,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8,6.450000000000001,0.0008695652173913045
1240_2021_PHO,2021,1240,Deandre Ayton,1610612756,PHX,C,22,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1.0,2.1,3.4,13.9,16.550000000000004,0.001691364333163005
1506_2021_UTA,2021,1506,Udoka Azubuike,1610612762,UTA,C,21,12,0,4.1,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0,0.7,8.172796263864565e-05
24_2021_ORL,2021,24,Dwayne Bacon,1610612753,ORL,SG,25,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3.0,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1.0,0.8,0.1,0.7,1.7,10.7,7.149999999999999,0.0011932576769025365
517_2021_SAC,2021,517,Marvin Bagley III,1610612758,SAC,PF,21,25,25,24.9,5.1,10.8,0.476,1.0,2.8,0.371,4.1,8.0,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8,9.699999999999998,0.0013999134074180975
1347_2021_CHO,2021,1347,LaMelo Ball,1610612766,CHA,PG,19,28,8,27.7,5.4,12.4,0.437,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2.0,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6,14.949999999999996,0.0022113748983063376
519_2021_NOP,2021,519,Lonzo Ball,1610612740,NOP,PG,23,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.543,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2.0,2.5,14.0,12.350000000000001,0.0016972445543874117
1323_2021_ORL,2021,1323,Mo Bamba,1610612753,ORL,C,22,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3.0,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8,5.2,0.0008678237650200267
1514_2021_MEM,2021,1514,Desmond Bane,1610612763,MEM,SG,22,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3,7.849999999999999,0.001006152268649064
1271_2021_SAC,2021,1271,Harrison Barnes,1610612758,SAC,PF,28,27,27,35.1,5.3,11.0,0.48,1.7,4.3,0.388,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8,16.850000000000005,0.0024318083417520574
1317_2021_NYK,2021,1317,RJ Barrett,1610612752,NYK,SG,20,30,30,33.7,6.2,14.6,0.428,1.0,3.4,0.304,5.2,11.2,0.466,0.463,3.0,4.0,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5,12.15,0.0017984014209591476
1289_2021_DEN,2021,1289,Will Barton,1610612743,DEN,SF,30,25,21,29.8,4.4,10.0,0.436,1.6,4.0,0.404,2.8,6.0,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,9.850000000000001,0.0011700421690324881
1544_2021_SAS,2021,1544,Keita Bates-Diop,1610612759,SAS,SF,25,8,0,3.4,0.0,1.1,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.8,0.833,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.6,0.049999999999999795,7.256367462448269e-06
1266_2021_LAC,2021,1266,Nicolas Batum,1610612746,LAC,SF,32,27,27,29.9,3.3,6.8,0.492,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1.0,1.1,0.867,0.9,4.0,4.9,2.3,1.4,0.4,0.7,1.7,9.7,12.049999999999999,0.001323521335603273
35_2021_TOR,2021,35,Aron Baynes,1610612761,TOR,C,34,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6,4.900000000000001,0.0007333133792277763
532_2021_GSW,2021,532,Kent Bazemore,1610612744,GSW,SF,31,27,0,16.6,2.5,4.9,0.515,1.0,2.3,0.459,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0,6.750000000000001,0.000948100287941569
1420_2021_OKC,2021,1420,Darius Bazley,1610612760,OKC,PF,20,28,28,31.1,4.5,11.5,0.393,1.5,5.3,0.286,3.0,6.3,0.483,0.458,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2,11.700000000000001,0.0019431988041853515
1210_2021_WAS,2021,1210,Bradley Beal,1610612764,WAS,SG,27,24,24,35.3,11.4,24.0,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,24.449999999999996,0.003296258847320525
1287_2021_MIN,2021,1287,Malik Beasley,1610612750,MIN,SG,24,29,28,32.8,7.7,17.0,0.455,3.4,8.7,0.398,4.3,8.3,0.515,0.557,2.0,2.4,0.843,0.9,4.0,4.9,2.5,0.9,0.2,1.7,1.7,20.9,15.75,0.00237467018469657
536_2021_WAS,2021,536,Jordan Bell,1610612764,WAS,C,26,3,1,16.7,1.7,5.0,0.333,0.0,0.7,0.0,1.7,4.3,0.385,0.333,0.0,0.0,0.0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3,4.75,0.0006403774856757668
538_2021_TOR,2021,538,DeAndre' Bembry,1610612761,TOR,SF,26,19,0,13.7,1.7,2.8,0.611,0.4,0.7,0.5,1.4,2.1,0.65,0.676,0.3,0.6,0.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2,4.650000000000001,0.0006958994313079919
42_2021_WAS,2021,42,Dāvis Bertāns,1610612764,WAS,PF,28,23,3,25.8,3.3,8.8,0.381,3.0,7.8,0.378,0.4,1.0,0.409,0.55,1.9,2.3,0.827,0.4,2.7,3.1,1.0,0.7,0.3,0.6,2.5,11.5,7.249999999999998,0.0009774182676103806
1296_2021_LAC,2021,1296,Patrick Beverley,1610612746,LAC,PG,32,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.443,1.0,2.3,0.422,0.577,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3,7.500000000000001,0.0008237684661431162
1457_2021_DET,2021,1457,Saddiq Bey,1610612765,DET,SF,21,26,9,20.3,2.9,7.0,0.418,1.9,4.7,0.413,1.0,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1.0,0.5,0.0,0.7,1.3,9.2,7.699999999999998,0.0012477718360071298
45_2021_DAL,2021,45,Tyler Bey,1610612742,DAL,SF,22,4,0,3.3,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.3,0.4,0.4,0.5,1.0,0.5,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5,0.4,5.3890198720107787e-05
1370_2021_ORL,2021,1370,Khem Birch,1610612753,ORL,C,28,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7,8.35,0.001393524699599466
1393_2021_IND,2021,1393,Goga Bitadze,1610612754,IND,C,21,13,0,9.5,1.7,2.9,0.579,0.2,0.9,0.167,1.5,2.0,0.769,0.605,0.7,0.9,0.75,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2,3.500000000000001,0.00048362581180046995
1469_2021_CHO,2021,1469,Bismack Biyombo,1610612766,CHA,C,28,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1,6.800000000000002,0.0010058427631092378
546_2021_SAC,2021,546,Nemanja Bjelica,1610612758,SAC,PF,32,13,0,16.2,2.3,5.2,0.448,0.5,2.0,0.269,1.8,3.2,0.561,0.5,1.8,2.2,0.821,0.9,2.8,3.8,2.2,0.0,0.2,1.2,1.8,6.9,6.15,0.0008875739644970415
547_2021_NOP,2021,547,Eric Bledsoe,1610612740,NOP,SG,31,27,26,28.9,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2.0,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7,10.799999999999999,0.001484230055658627
548_2021_POR,2021,548,Keljin Blevins,1610612757,POR,SF,25,8,0,4.8,0.1,1.1,0.111,0.0,0.4,0.0,0.1,0.8,0.167,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3,-0.8,-0.00010536713862364176
52_2021_ATL,2021,52,Bogdan Bogdanović,1610612737,ATL,SG,28,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9,7.45,0.0008670856610800745
53_2021_UTA,2021,53,Bojan Bogdanović,1610612762,UTA,SF,31,29,29,30.7,5.0,12.1,0.416,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3.0,0.864,0.5,3.5,4.0,2.1,0.4,0.0,1.5,1.5,15.2,10.950000000000001,0.0012784588441331
1504_2021_DEN,2021,1504,Bol Bol,1610612743,DEN,PF,21,12,2,5.4,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4,0.85,0.00010096810595711826
55_2021_CLE,2021,55,Marques Bolden,1610612739,CLE,C,22,6,0,4.8,0.2,0.5,0.333,0.0,0.0,0.0,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,1.3,0.00021832227726929215
56_2021_ORL,2021,56,Jordan Bone,1610612753,ORL,PG,23,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,0.0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,3.6499999999999995,0.0006091455273698264
553_2021_WAS,2021,553,Isaac Bonga,1610612764,WAS,SF,21,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.357,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3,1.75,0.00023592854735422986
1230_2021_PHO,2021,1230,Devin Booker,1610612756,PHX,SG,24,23,23,35.2,9.0,18.2,0.492,2.0,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4,16.549999999999994,0.001691364333163004
1306_2021_TOR,2021,1306,Chris Boucher,1610612761,TOR,C,28,28,0,23.4,4.8,9.0,0.528,1.6,3.6,0.441,3.1,5.4,0.587,0.617,2.5,3.3,0.75,2.0,4.8,6.8,1.0,0.5,2.1,0.7,2.7,13.6,13.55,0.00202783597725232
60_2021_IND,2021,60,Brian Bowen,1610612754,IND,SF,22,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.00041453641011468843
558_2021_MIA,2021,558,Avery Bradley,1610612748,MIA,SG,30,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,5.149999999999999,0.0007257609921082298
1517_2021_PHI,2021,1517,Tony Bradley,1610612755,PHI,C,23,10,1,11.7,1.9,3.6,0.528,0.0,0.1,0.0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1,6.149999999999999,0.0007373658653557939
1660_2021_UTA,2021,1660,Jarrell Brantley,1610612762,UTA,PF,24,8,0,2.8,0.4,1.0,0.375,0.4,0.8,0.5,0.0,0.3,0.0,0.563,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1,0.5000000000000001,5.837711617046119e-05
560_2021_NYK,2021,560,Ignas Brazdeikis,1610612752,NYK,SF,22,4,0,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,0.6499999999999999,9.621077560686796e-05
1264_2021_PHO,2021,1264,Mikal Bridges,1610612756,PHX,SF,24,27,27,33.3,5.1,10.1,0.504,2.0,4.9,0.398,3.1,5.1,0.604,0.601,2.0,2.4,0.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1,13.999999999999998,0.0014307613694430248
562_2021_CHO,2021,562,Miles Bridges,1610612766,CHA,PF,22,28,2,26.7,3.8,8.0,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9,9.549999999999997,0.0014126174099548846
1256_2021_IND,2021,1256,Malcolm Brogdon,1610612754,IND,PG,28,29,29,36.0,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6,19.650000000000006,0.00271521348625121
1313_2021_MEM,2021,1313,Dillon Brooks,1610612763,MEM,SF,25,24,24,29.2,6.1,15.4,0.397,1.9,6.0,0.319,4.2,9.4,0.447,0.459,1.7,2.1,0.8,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8,7.299999999999998,0.0009356575237118685
1372_2021_BRK,2021,1372,Bruce Brown,1610612751,BKN,PG,24,26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1.0,0.7,0.4,0.8,1.8,6.4,6.950000000000001,0.0007856214322048269
1246_2021_BOS,2021,1246,Jaylen Brown,1610612738,BOS,SG,24,26,26,33.4,9.9,19.5,0.506,2.4,5.9,0.409,7.5,13.6,0.548,0.568,3.7,4.8,0.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3.0,25.9,19.400000000000002,0.0027474861917575416
1600_2021_OKC,2021,1600,Moses Brown,1610612760,OKC,C,21,7,0,4.4,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,1.0,2.0,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0,3.5999999999999996,0.0005979073243647234
1452_2021_HOU,2021,1452,Sterling Brown,1610612745,HOU,SG,25,26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1.0,0.8,3.1,3.9,1.8,1.0,0.3,0.7,2.0,7.5,7.850000000000002,0.001233791748526523
578_2021_WAS,2021,578,Troy Brown Jr.,1610612764,WAS,SF,21,13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2.0,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1.0,0.2,0.2,0.9,1.8,4.8,2.9999999999999996,0.00040444893832153686
1249_2021_DAL,2021,1249,Jalen Brunson,1610612742,DAL,PG,24,24,6,24.1,4.3,8.3,0.515,1.1,2.8,0.382,3.2,5.5,0.583,0.58,2.0,2.3,0.889,0.2,3.0,3.2,3.6,0.4,0.0,1.2,1.5,11.7,11.799999999999999,0.0015897608622431794
1529_2021_WAS,2021,1529,Thomas Bryant,1610612764,WAS,C,23,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,13.600000000000005,0.0018335018537243013
1327_2021_NYK,2021,1327,Reggie Bullock,1610612752,NYK,SF,29,25,25,26.8,3.1,7.6,0.411,1.8,4.6,0.383,1.4,3.0,0.453,0.526,0.5,0.6,0.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5,6.249999999999999,0.0009251036116044996
583_2021_DAL,2021,583,Trey Burke,1610612742,DAL,PG,28,27,0,17.3,2.9,6.6,0.444,1.3,3.4,0.396,1.6,3.2,0.494,0.545,0.9,1.0,0.852,0.1,1.0,1.1,1.6,0.8,0.1,0.6,1.5,8.0,5.600000000000001,0.0007544627820815092
1328_2021_NYK,2021,1328,Alec Burks,1610612752,NYK,SG,29,18,3,25.5,3.6,9.0,0.395,2.0,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,9.799999999999999,0.0014505624629958553
1220_2021_MIA,2021,1220,Jimmy Butler,1610612748,MIA,SF,31,16,16,32.9,6.0,13.7,0.438,0.3,1.5,0.167,5.8,12.2,0.472,0.447,7.2,8.4,0.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4,23.599999999999998,0.0033258173618940243
80_2021_HOU,2021,80,Bruno Caboclo,1610612745,HOU,PF,25,6,0,6.0,1.3,2.8,0.471,0.0,0.8,0.0,1.3,2.0,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,1.9000000000000001,0.00029862475442043226
587_2021_LAL,2021,587,Devontae Cacok,1610612747,LAL,PF,24,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.00028774908279979855
1294_2021_LAL,2021,1294,Kentavious Caldwell-Pope,1610612747,LAL,SG,27,25,25,25.1,3.0,6.7,0.446,1.6,3.7,0.424,1.4,3.0,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5,6.300000000000001,0.0009064096108193656
1634_2021_DEN,2021,1634,Facundo Campazzo,1610612743,DEN,PG,29,25,1,14.0,1.5,3.8,0.396,1.0,2.6,0.375,0.6,1.3,0.438,0.521,0.9,1.2,0.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9,3.4000000000000004,0.000403872423828473
84_2021_DEN,2021,84,Vlatko Čančar,1610612743,DEN,PF,23,13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.333,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6,0.2999999999999997,3.563580210251229e-05
1272_2021_ATL,2021,1272,Clint Capela,1610612737,ATL,C,26,25,25,29.3,6.3,10.9,0.579,0.0,0.0,0.0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14.0,1.0,0.8,2.2,1.4,2.3,14.3,19.100000000000005,0.0022229981378026078
594_2021_CHO,2021,594,Vernon Carey Jr.,1610612766,CHA,C,19,3,0,2.0,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0,1.0,0.00014791805339841728
1379_2021_PHO,2021,1379,Jevon Carter,1610612756,PHX,PG,25,23,0,11.1,1.1,3.2,0.342,0.6,2.1,0.286,0.5,1.0,0.458,0.438,0.1,0.1,1.0,0.1,1.3,1.4,1.1,0.4,0.3,0.2,1.2,2.9,2.3999999999999995,0.00024527337761880424
597_2021_CHI,2021,597,Wendell Carter Jr.,1610612741,CHI,C,21,16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3.0,13.0,13.050000000000002,0.001863620135665834
1606_2021_ORL,2021,1606,Michael Carter-Williams,1610612753,ORL,SG,29,10,5,24.6,2.9,8.2,0.354,0.2,1.7,0.118,2.7,6.5,0.415,0.366,1.7,2.3,0.739,1.8,2.9,4.7,3.0,0.5,0.4,1.6,2.7,7.7,4.999999999999998,0.0008344459279038715
1339_2021_LAL,2021,1339,Alex Caruso,1610612747,LAL,PG,26,22,0,18.7,2.0,4.4,0.464,1.0,2.3,0.44,1.0,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1.0,0.2,1.1,1.6,5.5,5.950000000000001,0.0008560535213294009
