primary_key_composed,season_id,player_id,player_name,team_id,team_abbreviation,position,age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,divisor_pie,pie,Predicted_PIE_XGB
1287_2021_MIN,2021,1287,Malik Beasley,1610612750,MIN,SG,24,29,28,32.8,7.7,17.0,0.455,3.4,8.7,0.398,4.3,8.3,0.515,0.557,2.0,2.4,0.843,0.9,4.0,4.9,2.5,0.9,0.2,1.7,1.7,20.9,15.75,0.0023746701846965,0.0020471541
536_2021_WAS,2021,536,Jordan Bell,1610612764,WAS,C,26,3,1,16.7,1.7,5.0,0.333,0.0,0.7,0.0,1.7,4.3,0.385,0.333,0.0,0.0,0.0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3,4.75,0.0006403774856757,0.000630769
538_2021_TOR,2021,538,DeAndre' Bembry,1610612761,TOR,SF,26,19,0,13.7,1.7,2.8,0.611,0.4,0.7,0.5,1.4,2.1,0.65,0.676,0.3,0.6,0.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2,4.650000000000001,0.0006958994313079,0.00049022277
42_2021_WAS,2021,42,Dāvis Bertāns,1610612764,WAS,PF,28,23,3,25.8,3.3,8.8,0.381,3.0,7.8,0.378,0.4,1.0,0.409,0.55,1.9,2.3,0.827,0.4,2.7,3.1,1.0,0.7,0.3,0.6,2.5,11.5,7.249999999999998,0.0009774182676103,0.0009380437
1296_2021_LAC,2021,1296,Patrick Beverley,1610612746,LAC,PG,32,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.443,1.0,2.3,0.422,0.577,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3,7.500000000000001,0.0008237684661431,0.0011049974
1457_2021_DET,2021,1457,Saddiq Bey,1610612765,DET,SF,21,26,9,20.3,2.9,7.0,0.418,1.9,4.7,0.413,1.0,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1.0,0.5,0.0,0.7,1.3,9.2,7.699999999999998,0.0012477718360071,0.0009424253
45_2021_DAL,2021,45,Tyler Bey,1610612742,DAL,SF,22,4,0,3.3,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.3,0.4,0.4,0.5,1.0,0.5,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5,0.4,5.3890198720107787e-05,0.00016707373
1370_2021_ORL,2021,1370,Khem Birch,1610612753,ORL,C,28,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7,8.35,0.0013935246995994,0.001022834
1393_2021_IND,2021,1393,Goga Bitadze,1610612754,IND,C,21,13,0,9.5,1.7,2.9,0.579,0.2,0.9,0.167,1.5,2.0,0.769,0.605,0.7,0.9,0.75,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2,3.500000000000001,0.0004836258118004,0.00045944596
1469_2021_CHO,2021,1469,Bismack Biyombo,1610612766,CHA,C,28,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1,6.800000000000002,0.0010058427631092,0.0010408009
